시도코드,시도명,,시도코드,시도명,시군구코드,시군구명
,,,46,전라남도,46830,영암군
,,,46,전라남도,46840,무안군
,,,46,전라남도,46860,함평군
,,,46,전라남도,46870,영광군
,,,46,전라남도,46880,장성군
,,,46,전라남도,46890,완도군
,,,46,전라남도,46900,진도군
,,,46,전라남도,46910,신안군
,,,47,경상북도,47111,포항시 남구
,,,47,경상북도,47113,포항시 북구
,,,47,경상북도,47130,경주시
,,,47,경상북도,47150,김천시
,,,47,경상북도,47170,안동시
,,,47,경상북도,47190,구미시
,,,47,경상북도,47210,영주시
,,,47,경상북도,47230,영천시
,,,47,경상북도,47250,상주시
,,,47,경상북도,47280,문경시
,,,47,경상북도,47290,경산시
,,,47,경상북도,47720,군위군
,,,47,경상북도,47730,의성군
,,,47,경상북도,47750,청송군
,,,47,경상북도,47760,영양군
,,,47,경상북도,47770,영덕군
,,,47,경상북도,47820,청도군
,,,47,경상북도,47830,고령군
,,,47,경상북도,47840,성주군
,,,47,경상북도,47850,칠곡군
,,,47,경상북도,47900,예천군
,,,47,경상북도,47920,봉화군
,,,47,경상북도,47930,울진군
,,,47,경상북도,47940,울릉군
,,,48,경상남도,48121,창원시 의창구
,,,48,경상남도,48123,창원시 성산구
,,,48,경상남도,48125,창원시 마산합포구
,,,48,경상남도,48127,창원시 마산회원구
,,,48,경상남도,48129,창원시 진해구
,,,48,경상남도,48170,진주시
,,,48,경상남도,48220,통영시
,,,48,경상남도,48240,사천시
,,,48,경상남도,48250,김해시
,,,48,경상남도,48270,밀양시
,,,48,경상남도,48310,거제시
,,,48,경상남도,48330,양산시
,,,48,경상남도,48720,의령군
,,,48,경상남도,48730,함안군
,,,48,경상남도,48740,창녕군
,,,48,경상남도,48820,고성군
,,,48,경상남도,48840,남해군
,,,48,경상남도,48850,하동군
,,,48,경상남도,48860,산청군
,,,48,경상남도,48870,함양군
,,,48,경상남도,48880,거창군
,,,48,경상남도,48890,합천군
,,,50,제주특별자치도,50110,제주시
,,,50,제주특별자치도,50130,서귀포시
